no,time,src,dst,protocol,info
1,0.000000000,N/A,N/A,LLDP,N/A
2,0.492409766,192.168.47.139,192.168.47.2,DNS,ads-img.mozilla.org
3,0.506033812,192.168.47.2,192.168.47.139,DNS,ads-img.mozilla.org
4,0.506541084,192.168.47.139,34.36.54.80,TCP,N/A
5,0.513846054,34.36.54.80,192.168.47.139,TCP,N/A
6,0.513888903,192.168.47.139,34.36.54.80,TCP,N/A
7,0.514395204,192.168.47.139,34.36.54.80,TLS,HTTPS (SNI: ads-img.mozilla.org)
8,0.514571500,34.36.54.80,192.168.47.139,TCP,N/A
9,0.522024351,34.36.54.80,192.168.47.139,TLS,N/A
10,0.522047148,192.168.47.139,34.36.54.80,TCP,N/A
11,0.522340714,192.168.47.139,34.36.54.80,TLS,N/A
12,0.522414649,34.36.54.80,192.168.47.139,TCP,N/A
13,0.522580413,192.168.47.139,34.36.54.80,TLS,N/A
14,0.522616391,192.168.47.139,34.36.54.80,TLS,N/A
15,0.522726099,34.36.54.80,192.168.47.139,TCP,N/A
16,0.522726239,34.36.54.80,192.168.47.139,TCP,N/A
17,0.525160215,34.36.54.80,192.168.47.139,TLS,N/A
18,0.525442423,192.168.47.139,34.36.54.80,TLS,N/A
19,0.525561711,34.36.54.80,192.168.47.139,TCP,N/A
20,0.527799924,34.36.54.80,192.168.47.139,TLS,N/A
